,연도,품명,지명,면적,생산량,관측지점명
0,2013,봄,예산군,120,383696,서산시
1,2014,봄,예산군,90,364326,서산시
2,2015,봄,예산군,60,287371,서산시
3,2016,봄,예산군,160,265919,서산시
4,2017,봄,예산군,280,519000,서산시
5,2018,봄,예산군,175,370000,서산시
6,2019,봄,문경시,318,270000,문경시
7,2020,봄,문경시,363,271700,문경시
8,2013,겨울,해남군,2842,348375,해남군
9,2014,겨울,해남군,2718,358017,해남군
10,2015,겨울,해남군,2918,294272,해남군
11,2016,겨울,해남군,2529,249841,해남군
12,2017,겨울,해남군,2306,258300,해남군
13,2018,겨울,해남군,3661,279900,해남군
14,2019,겨울,해남군,2640,437500,해남군
15,2020,겨울,해남군,2400,323100,해남군
16,2013,가을,해남군,1547,1593000,해남군
17,2014,가을,해남군,1648,1698000,해남군
18,2015,가을,해남군,1791,1436000,해남군
19,2016,가을,해남군,1851,1128000,해남군
20,2017,가을,해남군,1892,1362000,해남군
21,2018,가을,해남군,1993,1404000,해남군
22,2019,가을,해남군,1941,1113300,해남군
23,2020,가을,해남군,2488,1339700,해남군
24,2013,여름,정선군,1060,200895,평창군
25,2014,여름,평창군,1542,183287,평창군
26,2015,여름,정선군,1360,149607,평창군
27,2016,여름,정선군,1372,141239,평창군
28,2017,여름,평창군,1580,165000,평창군
29,2018,여름,평창군,1260,162000,평창군
30,2019,여름,평창군,1618,395453,평창군
31,2020,여름,평창군,1407,354656,평창군
