발표일자,지점명,지점코드,spi1,spi3,edi
2015-11-27,속초,90,2.66,0.72,1.97
2015-11-27,대관령,100,1.48,-0.51,-1.45
2015-11-27,춘천,101,2.23,-0.07,-1.85
2015-11-27,강릉,105,2.29,0.17,0.60
2015-11-27,서울,108,1.48,-0.06,-2.19
2015-11-27,인천,112,1.60,-0.07,-2.22
2015-11-27,원주,114,2.05,-0.09,-1.26
2015-11-27,수원,119,2.00,-0.34,-1.86
2015-11-27,충주,127,1.69,-0.44,-1.45
2015-11-27,서산,129,2.29,-0.11,-1.12
2015-11-27,울진,130,2.05,-0.19,0.69
2015-11-27,청주,131,1.87,-0.27,-1.52
2015-11-27,대전,133,1.98,-0.05,-1.17
2015-11-27,추풍령,135,2.04,0.08,-0.75
2015-11-27,포항,138,1.66,-0.07,-0.25
2015-11-27,군산,140,1.97,0.58,-0.62
2015-11-27,대구,143,1.24,-0.31,-0.35
2015-11-27,전주,146,1.54,0.03,-1.37
2015-11-27,울산,152,1.30,0.21,-0.39
2015-11-27,광주,156,1.59,0.09,-0.48
2015-11-27,부산,159,1.29,0.51,-0.17
2015-11-27,통영,162,0.99,0.21,-0.02
2015-11-27,목포,165,1.49,0.30,-0.08
2015-11-27,여수,168,0.81,-0.32,-0.59
2015-11-27,완도,170,0.89,0.10,0.03
2015-11-27,제주,184,1.75,0.19,0.87
2015-11-27,성산,188,1.70,0.91,1.73
2015-11-27,서귀포,189,1.57,1.25,1.60
2015-11-27,진주,192,1.45,0.20,-0.31
2015-11-27,강화,201,1.45,0.05,-2.65
2015-11-27,양평,202,2.43,0.11,-2.11
2015-11-27,이천,203,2.38,-0.03,-1.40
2015-11-27,인제,211,2.34,-0.02,-1.74
2015-11-27,홍천,212,2.31,0.16,-2.27
2015-11-27,제천,221,2.02,-0.17,-1.54
2015-11-27,보은,226,2.14,-0.01,-1.03
2015-11-27,천안,232,2.39,-0.33,-1.37
2015-11-27,보령,235,2.09,0.01,-1.26
2015-11-27,부여,236,1.71,0.07,-1.16
2015-11-27,금산,238,1.73,0.11,-0.92
2015-11-27,부안,243,1.79,0.28,-0.64
2015-11-27,임실,244,1.34,0.06,-1.26
2015-11-27,정읍,245,1.43,-0.08,-0.76
2015-11-27,남원,247,1.27,0.09,-1.10
2015-11-27,장흥,260,0.82,-0.29,-0.72
2015-11-27,해남,261,0.86,-0.25,-0.32
2015-11-27,고흥,262,0.67,-0.25,-0.31
2015-11-27,영주,272,1.71,-0.27,-1.19
2015-11-27,문경,273,2.23,0.27,-1.10
2015-11-27,영덕,277,2.20,0.43,0.71
2015-11-27,의성,278,1.54,-0.34,-1.25
2015-11-27,구미,279,1.54,-0.07,-0.70
2015-11-27,영천,281,1.33,-0.22,-0.51
2015-11-27,거창,284,1.62,-0.14,-0.51
2015-11-27,합천,285,1.43,-0.22,-0.46
2015-11-27,밀양,288,1.07,0.01,-0.61
2015-11-27,산청,289,1.40,-0.24,-0.25
2015-11-27,거제,294,1.41,0.48,0.04
2015-11-27,남해,295,1.40,-0.01,-0.12
